feature,hgb_mean_abs_shap,hgb_mean_shap,hgb_rank,lr_coefficient,lr_abs_coefficient,lr_rank
amount_to_oldbalanceOrg_ratio,7.184184663846914,6.547375558615494,1,1.6509699507162119,1.6509699507162119,8
amount_to_oldbalanceDest_ratio,0.7179544207861941,0.6064430351454378,2,-0.15062089669924628,0.15062089669924628,13
amount,0.5448272818333734,0.5075188092471334,3,-2.2326512656992943,2.2326512656992943,7
oldbalanceOrg,0.3717719472287148,0.3036304658208752,4,18.228144515573835,18.228144515573835,4
type_PAYMENT,0.219847884633356,0.13247139957887832,5,-14.564083505398541,14.564083505398541,5
type_CASH_OUT,0.1548960412043003,-0.012292273339486504,6,37.83510401278743,37.83510401278743,2
step,0.10897154163660865,-0.10839846406998005,7,-0.22324142838080496,0.22324142838080496,11
type_CASH_IN,0.09014554352303755,0.06472680812636605,8,-42.89476739846386,42.89476739846386,1
type_TRANSFER,0.08272124805405742,0.05686060437523644,9,22.945190967882397,22.945190967882397,3
oldbalanceDest,0.02694365617871221,0.015585212674446331,10,-0.1694475396728894,0.1694475396728894,12
is_zero_oldbalanceOrg,0.0013631352042806069,0.00015981377191250876,11,-1.649643537735751,1.649643537735751,9
is_zero_oldbalanceDest,0.0,0.0,12,0.5466537627965562,0.5466537627965562,10
type_DEBIT,0.0,0.0,12,-2.5934319175474188,2.5934319175474188,6
